brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,touchscreen,msoffice,price,rating,no_ratings,no_reviews
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,6236820,2,3,0
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,7019820,3,65,5
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,7199820,3,8,1
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,32-bit,2,Casual,0,False,False,12598200,3,0,0
ASUS,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,4858200,3,0,0
ASUS,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,4138200,3,0,0
ASUS,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3958200,3,31,3
ASUS,Intel,Core i5,10,8,DDR4,0,1024,Windows,32-bit,2,Casual,0,False,False,10583820,3,0,0
Lenovo,Intel,Core i5,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,8999820,3,0,0
Acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,4,Casual,0,False,False,10798200,4,1946,240
Acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,6,Casual,0,False,False,16866000,4,259,47
Acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,32-bit,4,Casual,0,False,False,13138200,4,425,67
Avita,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,3148200,3,1120,196
ASUS,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,4138200,3,0,0
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,0,False,False,6478200,3,0,0
HP,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,True,False,10168200,3,0,0
HP,Intel,Core i5,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,11770200,3,0,0
Lenovo,Intel,Celeron Dual,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,5759820,4,286,19
HP,Intel,Celeron Dual,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,5848200,4,58,6
Lenovo,Intel,Celeron Dual,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,5723820,3,0,0
ASUS,Intel,Celeron Dual,10,4,DDR4,256,0,Windows,64-bit,0,Casual,0,False,False,5380200,4,7,0
ASUS,Intel,Celeron Dual,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,4318200,3,15279,1947
HP,Intel,Core i3,7,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,5931900,4,311,27
HP,Intel,Core i5,7,4,DDR4,0,1024,Windows,32-bit,2,Casual,0,False,False,8316000,4,47,7
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,6197220,4,37,6
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,2,False,True,6838200,4,2080,235
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,1,False,True,6478200,4,1479,181
ASUS,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,6116400,4,67,3
HP,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7198200,4,273,30
DELL,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7108200,4,1267,171
HP,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,True,True,9718200,4,14,0
Acer,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,7018200,3,0,0
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,6838200,4,284,39
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,True,6820200,4,44,5
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,7018200,4,33,4
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,6838200,4,286,36
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7558200,3,10,5
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,8278200,4,816,147
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,7198200,4,543,65
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,7648200,4,9,1
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,6658200,4,1178,137
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,True,True,9718200,4,299,41
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,6658200,4,20,1
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,2,False,False,7009200,4,758,64
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,True,7108200,4,634,64
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,8278200,4,816,147
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,64-bit,0,Casual,2,False,True,7199820,5,4,0
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,7738200,4,17,2
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,True,False,8998200,4,24,5
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7468200,4,1753,165
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,7558200,4,216,21
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7558200,4,1084,160
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,6928200,3,19,3
Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7018200,4,106,13
Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,True,8098200,4,42,4
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,6568200,3,0,0
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7014600,3,0,0
HP,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,8082000,4,1029,107
MSI,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,7018200,4,53,11
DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,7996860,3,0,0
ASUS,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,6478200,3,0,0
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,True,7236000,3,48,1
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7378200,3,3,0
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,7648200,3,0,0
Acer,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4318200,3,61,4
DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,0,True,False,12959820,4,97,13
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,7198200,4,181,19
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,True,7559640,4,529,39
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7558200,3,0,0
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,Casual,2,False,True,7199820,3,0,0
ASUS,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7198200,3,0,0
Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,0,False,False,7199640,4,10,1
HP,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7648200,4,5205,561
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7558200,3,3,0
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,8728200,3,0,0
HP,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,True,7987680,4,1090,96
DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7902000,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,8404200,3,0,0
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,32-bit,0,Casual,0,False,False,7378200,5,1,1
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,7198200,4,44,2
Lenovo,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,0,False,False,7918200,3,0,0
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,1,False,False,6658200,4,70,9
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,1,False,False,8730000,3,0,0
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,64-bit,0,Casual,0,False,False,8818200,3,0,0
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4228200,4,632,92
HP,Intel,Core i3,8,4,DDR4,256,0,Windows,64-bit,0,Casual,1,True,True,9762840,4,71,8
ASUS,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,6838200,4,990,108
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7738200,4,158,18
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7738200,4,681,59
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,6478200,4,130,12
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7738200,4,30,4
ASUS,Intel,Core i3,11,8,LPDDR4X,512,0,Windows,32-bit,0,Casual,1,True,True,9358200,4,6,2
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,8818200,4,174,30
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7738200,4,40,7
Lenovo,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,False,7018200,3,13,1
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,8278200,4,184,29
HP,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7648200,4,1296,126
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7914600,4,571,56
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7198200,4,2551,297
MSI,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,8818200,4,17,3
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,True,9898200,4,35,3
MSI,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,7378200,4,118,17
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7558200,3,0,0
Lenovo,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,True,False,9898200,4,245,34
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,True,8098200,4,2058,305
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7425000,4,117,11
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,8098200,3,0,0
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7738200,4,74,11
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,True,False,10942200,4,10,1
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,0,False,False,8217000,4,39,4
DELL,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7558200,3,29,7
DELL,Intel,Core i3,10,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,False,8188200,4,43,4
ASUS,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,8098200,3,0,0
Lenovo,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,2,False,True,7738200,4,984,99
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,8188200,4,523,66
HP,Intel,Core i3,10,4,DDR4,512,0,Windows,32-bit,0,Casual,0,False,False,6983820,4,30,1
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,Casual,1,True,True,12468060,3,0,0
ASUS,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,Casual,1,False,True,9296820,3,0,0
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,8638200,4,1605,215
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7378200,4,4008,519
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,7738200,4,1869,234
ASUS,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,8080200,3,7,0
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7468200,4,4008,519
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,32-bit,0,ThinNlight,1,False,False,9178200,3,0,0
HP,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,1,False,True,8802000,4,1278,135
ASUS,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,1,False,False,7378200,4,4008,519
DELL,Intel,Core i3,10,4,DDR4,512,0,Windows,64-bit,0,Casual,0,False,False,7522200,3,0,0
Lenovo,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,Casual,1,True,True,10439820,3,10,2
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,8267400,3,0,0
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,True,True,9988200,4,143,15
ASUS,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,5920200,3,28,4
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,6478200,4,2124,233
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,7648200,4,276,40
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,7594200,3,250,21
DELL,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7108200,4,1917,189
HP,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7864200,4,4999,490
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,6478200,3,17,0
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7884000,4,17,0
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7018200,3,0,0
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,6298200,3,4203,490
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,7002000,3,13,0
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,7198200,3,15,1
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7360200,4,527,46
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,6658200,3,103,10
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7198200,3,324,45
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7558200,4,69,5
DELL,Intel,Core i3,11,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7914600,3,16,0
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,7162200,3,40,3
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,32-bit,0,ThinNlight,0,False,False,6406200,3,12,1
HP,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,6568200,3,1146,175
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7018200,4,1850,216
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,32-bit,0,ThinNlight,0,False,False,6118200,3,43,7
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,True,7812000,4,231,26
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4498200,4,502,93
HP,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7335000,4,1096,116
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7740000,4,313,35
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,6840000,4,7,0
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,6838200,3,265,46
HP,Intel,Core i3,7,8,DDR4,0,1024,Windows,64-bit,2,Casual,0,False,False,8870220,4,38,3
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7019820,3,7,2
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7470000,3,4,0
Acer,Intel,Core i3,11,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,6659820,3,0,0
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7722000,3,0,0
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3868200,3,818,113
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7466400,3,25,4
ASUS,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,5938200,2,12,0
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,6962400,3,17,1
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4318200,4,974,170
DELL,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,7270200,3,83,15
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,6118200,3,31,6
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3688200,3,637,91
DELL,Intel,Core i3,10,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7468200,5,7,5
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,8188200,4,207,16
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,8008200,4,844,103
ASUS,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,1,False,True,7540200,4,53,6
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7738200,4,62,7
Acer,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,7378200,4,38,2
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,False,8818200,4,724,92
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7846200,3,0,0
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,Casual,1,False,False,8044200,4,9,0
ASUS,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,7378200,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7918200,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7846200,3,0,0
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7450200,4,56,7
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7972200,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,Casual,1,False,False,8819820,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7198200,3,170,11
DELL,Intel,Core i3,10,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,0,False,False,8350200,2,95,5
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,64-bit,0,Casual,0,False,False,3418200,3,197,25
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3238200,3,1180,148
HP,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,4764600,3,232,23
HP,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,5038200,3,596,65
Lenovo,Intel,Celeron Dual,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,5399820,3,19,1
Lenovo,Intel,Celeron Dual,10,4,LPDDR4X,0,512,Windows,64-bit,0,Casual,0,False,False,4678200,3,84,16
Lenovo,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3058200,3,414,54
Lenovo,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4498200,2,70,16
Acer,Intel,Core i5,10,8,DDR5,0,512,Windows,32-bit,4,Casual,0,False,False,9178200,4,10966,1185
Acer,Intel,Core i5,10,8,LPDDR4,0,512,Windows,32-bit,0,Casual,1,False,False,21598200,4,1,1
Acer,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,0,Casual,0,False,False,16954200,4,31,6
ASUS,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,4,Casual,0,False,False,19110060,4,1881,241
DELL,Intel,Core i5,10,8,LPDDR4,0,512,DOS,32-bit,4,Casual,1,False,False,12256200,1,23,4
